Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Turkish Airlines,IST,CMN,4h 55m,direct,business,11:55,14:50,"AED 5,240",2024-07-05
JetBlue,LAX,PAR,17h 13m,1 stop,business,09:12,11:25+1,"AED 15,376",2024-06-29
Condor,LAX,IST,16h 20m,1 stop,business,19:00,21:20+1,"AED 27,329 ",2024-06-04 
Delta,LAX,PAR,13h 35m,1 stop,business,09:40,08:15+1,"AED 26,484 ",2024-06-01 
Egypt Air,IST,CMN,10h 00m,1 stop,business,04:30,12:30,"AED 5,194",2024-06-30
Korean Air,NRT,CMN,47h 55m,2 stops,economy,17:20,09:15+2,"AED 5,490",2024-06-29
Air France,CMN,PAR,3h 00m,direct,economy,15:55,19:55,AED 894,2024-06-24
Air Arabia Maroc,CMN,IST,8h 55m,1 stop,economy,08:05,19:00,"AED 1,389",2024-07-01
Delta,LAX,PAR,10h 55m,direct,economy,15:20,11:15+1,"AED 5,297",2024-06-30
Turkish Airlines,CMN,IST,4h 25m,direct,business,10:15,16:40,"AED 5,577",2024-07-02
Delta,LAX,IST,18h 45m,2 stops,business,11:45,16:30+1,"AED 23,189",2024-06-28
China Eastern,NRT,IST,21h 35m,1 stop,economy,16:55,08:30+1,"AED 1,169 ",2024-06-13 
Cathay Pacific,PAR,NRT,25h 30m,1 stop,economy,12:05,20:35+1,"AED 3,000",2024-06-27
Etihad Airways,NRT,PAR,21h 15m,1 stop,business,17:30,07:45+1,"AED 5,935 ",2024-06-07 
Lufthansa,PAR,IST,5h 50m,1 stop,business,14:30,21:20,"AED 2,999 ",2024-06-05 
Emirates,CMN,NRT,18h 50m,1 stop,economy,14:45,17:35+1,"AED 3,963 ",2024-06-11 
Egypt Air,IST,CMN,15h 00m,1 stop,business,00:30,13:30,"AED 5,672",2024-05-31
Air Serbia,PAR,IST,18h 25m,1 stop,business,20:25,15:50+1,"AED 2,037",2024-07-05
Air Arabia Maroc,CMN,IST,8h 50m,1 stop,economy,10:55,21:45,AED 771,2024-06-09
Hawaiian Airlines,LAX,NRT,37h 15m,1 stop,business,09:50,15:05+2,"AED 8,536 ",2024-06-15 
Cathay Pacific,NRT,LAX,21h 20m,1 stop,economy,17:15,22:35,"AED 2,470 ",2024-06-02 
Delta,LAX,PAR,13h 05m,1 stop,business,17:40,15:45+1,"AED 36,491 ",2024-06-07 
Lufthansa,LAX,IST,16h 40m,1 stop,economy,18:40,21:20+1,"AED 3,698 ",2024-06-24 
Air Serbia,IST,PAR,6h 10m,1 stop,business,07:45,12:55,"AED 2,081",2024-07-07
Lufthansa,LAX,IST,18h 49m,2 stops,economy,08:16,13:05+1,"AED 3,715",2024-07-02
