Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Transavia France,IST,PAR,3h 50m,direct,economy,07:00,09:50,AED 518,2024-06-09
Norse Atlantic Airways,PAR,LAX,11h 50m,direct,economy,16:15,19:05,"AED 1,381 ",2024-06-03 
Delta,LAX,PAR,15h 15m,1 stop,business,21:20,21:35+1,"AED 26,484 ",2024-06-07 
Turkish Airlines,PAR,IST,3h 45m,direct,business,07:20,12:05,"AED 5,820",2024-06-29
Royal Air Maroc,CMN,PAR,2h 55m,direct,economy,13:25,17:20,"AED 1,040",2024-05-31
Multiple Airlines,LAX,CMN,28h 37m,2 stops,business,11:48,00:25+2,"AED 8,765 ",2024-06-04 
Cathay Pacific,PAR,NRT,19h 25m,1 stop,economy,12:05,14:30+1,"AED 3,080 ",2024-06-08 
Alaska Airlines,LAX,NRT,15h 50m,1 stop,economy,07:00,14:50+1,"AED 2,102",2024-07-08
LEVEL,LAX,PAR,15h 40m,1 stop,economy,19:55,20:35+1,"AED 3,048 ",2024-06-24 
Cathay Pacific,LAX,NRT,21h 15m,1 stop,economy,01:15,14:30+1,"AED 5,320 ",2024-06-19 
Air Serbia,IST,PAR,5h 00m,1 stop,economy,15:40,19:40,AED 786,2024-06-09
Lufthansa,CMN,LAX,23h 35m,1 stop,economy,01:15,16:50,"AED 3,347 ",2024-06-05 
British Airways,IST,LAX,27h 30m,1 stop,economy,19:55,13:25+1,"AED 2,380",2024-07-02
Qatar Airways,IST,NRT,16h 50m,1 stop,economy,20:05,18:55+1,"AED 3,193 ",2024-06-05 
British Airways,IST,CMN,10h 50m,2 stops,business,08:25,17:15,"AED 5,116 ",2024-06-17 
United Airlines,NRT,LAX,10h 00m,direct,economy,17:00,11:00,"AED 6,600 ",2024-06-22 
WestJet,NRT,LAX,17h 35m,2 stops,business,18:30,20:05,"AED 6,840",2024-07-02
Delta,LAX,IST,19h 50m,2 stops,economy,10:15,16:05+1,"AED 3,219",2024-07-06
Air Canada,CMN,LAX,24h 46m,2 stops,economy,01:15,18:01,"AED 5,590 ",2024-05-29 
British Airways,IST,PAR,6h 35m,1 stop,economy,17:40,23:15,AED 820,2024-06-21
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,10:20,14:10,AED 575,2024-06-09
Turkish Airlines,IST,CMN,4h 50m,direct,economy,18:10,21:00,"AED 1,860 ",2024-06-07 
EVA Air,PAR,NRT,18h 05m,1 stop,economy,11:20,12:25+1,"AED 3,629 ",2024-06-15 
Qatar Airways,NRT,CMN,36h 00m,2 stops,economy,10:20,14:20+1,"AED 4,210",2024-07-08
Philippine Airlines,LAX,NRT,21h 20m,1 stop,business,23:40,13:00+2,"AED 10,595 ",2024-05-29 
British Airways,IST,PAR,6h 45m,1 stop,business,17:10,22:55,"AED 1,890 ",2024-06-06 
Delta,LAX,CMN,18h 30m,1 stop,economy,18:30,21:00+1,"AED 5,141 ",2024-06-17 
Qatar Airways,NRT,CMN,26h 45m,2 stops,business,22:30,17:15+1,"AED 14,890 ",2024-05-30 
Multiple Airlines,LAX,IST,19h 00m,2 stops,business,12:00,17:00+1,"AED 17,142 ",2024-06-25 
Korean Air,NRT,PAR,28h 35m,1 stop,economy,20:55,18:30+1,"AED 2,660 ",2024-06-12 
Turkish Airlines,NRT,CMN,36h 15m,1 stop,business,10:35,14:50+1,"AED 12,710",2024-07-06
China Eastern,NRT,IST,25h 30m,1 stop,economy,13:00,08:30+1,"AED 1,280 ",2024-06-12 
United Airlines,LAX,NRT,15h 40m,1 stop,economy,08:35,16:15+1,"AED 5,000 ",2024-06-08 
Vueling,PAR,IST,7h 40m,1 stop,economy,09:40,18:20,AED 758,2024-06-14
United Airlines,LAX,CMN,16h 10m,2 stops,business,07:00,07:10+1,"AED 14,020 ",2024-06-20 
Qatar Airways,NRT,IST,31h 05m,2 stops,business,10:40,11:45+1,"AED 13,320",2024-05-31
British Airways,IST,LAX,16h 58m,1 stop,business,13:15,20:13,"AED 17,300",2024-07-06
Turkish Airlines,LAX,CMN,41h 35m,1 stop,business,19:25,21:00+2,"AED 11,880 ",2024-06-21 
TAP Portugal,CMN,PAR,9h 10m,1 stop,business,11:25,21:35,"AED 2,130 ",2024-06-10 
Alaska Airlines,LAX,NRT,15h 40m,1 stop,economy,08:50,16:30+1,"AED 4,940",2024-06-26
Egypt Air,CMN,IST,11h 20m,1 stop,economy,13:30,02:50+1,"AED 1,480",2024-07-02
Qatar Airways,IST,LAX,27h 40m,1 stop,economy,13:45,07:25+1,"AED 1,987 ",2024-06-03 
Royal Air Maroc,CMN,LAX,39h 15m,1 stop,business,10:15,17:30+1,"AED 9,150 ",2024-06-23 
KLM,IST,NRT,22h 05m,2 stops,business,17:00,21:05+1,"AED 10,880 ",2024-06-02 
EVA Air,NRT,PAR,24h 30m,1 stop,economy,14:25,07:55+1,"AED 2,930",2024-07-01
Turkish Airlines,IST,PAR,3h 40m,direct,economy,06:50,09:30,"AED 1,360 ",2024-06-18 
Qatar Airways,NRT,IST,19h 15m,1 stop,business,22:30,11:45+1,"AED 8,390",2024-07-03
Multiple Airlines,CMN,NRT,41h 35m,3 stops,business,15:55,17:30+2,"AED 6,584 ",2024-06-08 
Air France,PAR,CMN,3h 05m,direct,economy,15:15,17:20,"AED 1,202",2024-07-03
LOT,IST,NRT,19h 00m,1 stop,economy,17:35,18:35+1,"AED 2,731 ",2024-06-21 
Pegasus Airlines,IST,PAR,8h 25m,1 stop,economy,14:20,21:45,AED 459,2024-05-30
SWISS,PAR,LAX,15h 30m,1 stop,business,09:45,16:15,"AED 19,439",2024-05-31
Egypt Air,IST,CMN,10h 00m,1 stop,economy,04:30,12:30,"AED 1,297 ",2024-06-01 
Egypt Air,CMN,IST,15h 00m,1 stop,economy,00:45,17:45,"AED 1,634",2024-06-30
Lufthansa,LAX,IST,16h 40m,1 stop,economy,18:40,21:20+1,"AED 3,656",2024-07-01
Etihad Airways,NRT,IST,22h 20m,2 stops,economy,14:00,06:20+1,"AED 3,235 ",2024-06-02 
Tunisair,CMN,IST,7h 20m,1 stop,economy,02:00,11:20,"AED 1,592",2024-06-30
Lufthansa,LAX,IST,16h 05m,1 stop,economy,14:55,17:00+1,"AED 3,698 ",2024-06-25 
Qatar Airways,CMN,IST,12h 55m,1 stop,economy,20:50,11:45+1,"AED 2,310",2024-06-30
Lufthansa,PAR,IST,6h 15m,1 stop,economy,09:45,17:00,"AED 1,153",2024-05-31
Tunisair,CMN,IST,7h 25m,1 stop,business,02:00,11:25,"AED 2,397",2024-06-29
Air France,PAR,CMN,3h 05m,direct,business,15:15,17:20,"AED 3,699 ",2024-06-03 
Condor,LAX,IST,16h 20m,1 stop,economy,19:00,21:20+1,"AED 3,509 ",2024-06-18 
SWISS,PAR,NRT,18h 40m,2 stops,business,07:10,08:50+1,"AED 15,011 ",2024-06-07 
Turkish Airlines,IST,PAR,3h 45m,direct,economy,19:45,22:30,AED 825,2024-07-04
Royal Air Maroc,PAR,CMN,3h 00m,direct,business,17:35,19:35,"AED 2,901 ",2024-05-30 
LOT,IST,PAR,5h 55m,1 stop,economy,13:55,18:50,AED 880,2024-06-21
TAP Portugal,CMN,PAR,5h 00m,1 stop,business,17:00,23:00,"AED 1,170",2024-06-26
KLM,IST,NRT,18h 45m,1 stop,business,08:50,09:35+1,"AED 12,500 ",2024-06-02 
Korean Air,NRT,PAR,28h 05m,1 stop,business,20:55,18:00+1,"AED 7,970 ",2024-06-19 
Qatar Airways,CMN,IST,12h 55m,1 stop,economy,20:50,11:45+1,"AED 2,210 ",2024-06-04 
LOT,IST,LAX,31h 00m,1 stop,business,17:35,14:35+1,"AED 9,850",2024-07-07
Transavia France,PAR,IST,3h 45m,direct,economy,06:30,11:15,AED 602,2024-06-17
Austrian Airlines,PAR,NRT,18h 45m,1 stop,business,07:05,08:50+1,"AED 14,740 ",2024-06-11 
Korean Air,IST,NRT,16h 25m,1 stop,economy,21:20,19:45+1,"AED 3,660 ",2024-06-23 
JetBlue,PAR,LAX,20h 10m,1 stop,economy,11:15,22:25,"AED 3,451 ",2024-06-18 
Air Canada,NRT,CMN,30h 35m,2 stops,business,17:45,16:20+1,"AED 26,205 ",2024-06-09 
Air Canada,NRT,LAX,17h 21m,1 stop,business,16:40,18:01,"AED 9,070 ",2024-06-23 
TAROM,IST,PAR,8h 30m,1 stop,business,10:15,17:45,"AED 2,995 ",2024-06-06 
Lufthansa,IST,LAX,20h 52m,2 stops,economy,14:00,00:52+1,"AED 3,660",2024-07-02
Air China,NRT,PAR,23h 10m,1 stop,economy,15:15,07:25+1,"AED 2,190",2024-06-28
Norse Atlantic Airways,LAX,IST,17h 10m,1 stop,economy,21:10,00:20+2,"AED 2,533 ",2024-06-09 
Lufthansa,PAR,CMN,10h 55m,2 stops,business,14:30,00:25+1,"AED 2,330",2024-07-02
Turkish Airlines,NRT,IST,13h 10m,direct,business,10:35,17:45,"AED 16,860 ",2024-06-14 
China Southern,NRT,CMN,31h 05m,2 stops,business,13:25,12:30+1,"AED 12,899 ",2024-06-24 
ANA,LAX,NRT,14h 50m,1 stop,business,08:00,14:50+1,"AED 16,360 ",2024-06-11 
Transavia France,PAR,IST,3h 50m,direct,economy,19:15,00:05+1,AED 417,2024-06-09
Pegasus Airlines,IST,CMN,5h 10m,direct,economy,19:50,23:00,AED 822,2024-06-20
Egypt Air,CMN,IST,8h 35m,1 stop,business,13:30,00:05+1,"AED 7,260 ",2024-06-12 
EVA Air,NRT,LAX,17h 55m,1 stop,business,14:25,16:20,"AED 12,100 ",2024-06-09 
WestJet,NRT,LAX,16h 46m,2 stops,economy,18:30,19:16,"AED 4,580",2024-06-28
Air France,CMN,PAR,3h 05m,direct,economy,07:30,11:35,"AED 1,060 ",2024-06-09 
Lufthansa,PAR,NRT,20h 05m,2 stops,economy,09:45,12:50+1,"AED 2,775 ",2024-06-15 
Etihad Airways,NRT,IST,25h 30m,2 stops,economy,17:30,13:00+1,"AED 3,225",2024-06-30
Qatar Airways,NRT,CMN,41h 00m,1 stop,economy,22:30,07:30+2,"AED 3,190 ",2024-06-17 
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,18:30,20:40,"AED 1,878",2024-07-01
United Airlines,IST,LAX,25h 54m,3 stops,business,08:05,23:59,"AED 8,030",2024-07-02
Qatar Airways,CMN,NRT,33h 30m,2 stops,economy,14:10,07:40+2,"AED 3,720 ",2024-06-12 
Royal Air Maroc,CMN,NRT,33h 00m,2 stops,economy,13:45,06:45+2,"AED 3,035 ",2024-05-30 
Delta,LAX,CMN,18h 40m,2 stops,business,06:35,09:15+1,"AED 14,100",2024-06-30
Korean Air,NRT,PAR,32h 10m,1 stop,business,17:20,18:30+1,"AED 7,970",2024-06-26
WestJet,LAX,NRT,27h 25m,2 stops,business,21:00,16:25+2,"AED 14,020 ",2024-06-20 
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,18:35,22:25,AED 577,2024-06-05
Air Serbia,PAR,IST,7h 35m,1 stop,business,10:05,18:40,"AED 2,715",2024-07-01
Finnair,NRT,PAR,22h 15m,1 stop,business,23:05,14:20+1,"AED 13,410",2024-05-31
Delta,LAX,CMN,21h 45m,2 stops,business,09:05,14:50+1,"AED 14,099 ",2024-06-10 
Asiana Airlines,NRT,IST,26h 45m,1 stop,business,19:25,16:10+1,"AED 6,170 ",2024-06-25 
Air Serbia,PAR,IST,4h 55m,1 stop,economy,10:05,16:00,AED 814,2024-06-04
British Airways,LAX,IST,17h 05m,1 stop,economy,21:25,00:30+2,"AED 4,500 ",2024-06-02 
Royal Air Maroc,PAR,CMN,3h 10m,direct,economy,13:05,15:15,"AED 1,349 ",2024-06-16 
Air China,NRT,IST,22h 45m,1 stop,economy,15:15,08:00+1,"AED 1,840 ",2024-06-11 
Egypt Air,IST,CMN,15h 00m,1 stop,business,00:30,13:30,"AED 7,424 ",2024-06-14 
China Southern,NRT,IST,23h 40m,2 stops,business,12:50,06:30+1,"AED 12,560",2024-06-26
Transavia France,CMN,PAR,3h 00m,direct,economy,16:55,20:55,AED 301,2024-06-16
British Airways,IST,PAR,7h 50m,1 stop,economy,14:40,21:30,"AED 1,250 ",2024-06-14 
Multiple Airlines,PAR,LAX,19h 50m,2 stops,business,09:45,20:35,"AED 14,033 ",2024-06-14 
China Eastern,IST,NRT,16h 00m,1 stop,economy,14:00,12:00+1,"AED 2,730 ",2024-06-09 
Cathay Pacific,PAR,NRT,21h 00m,1 stop,economy,12:05,16:05+1,"AED 4,500 ",2024-06-02 
British Airways,IST,PAR,8h 10m,1 stop,business,08:25,15:35,"AED 3,050",2024-06-27
Lufthansa,CMN,LAX,21h 15m,2 stops,business,01:15,14:30,"AED 8,390 ",2024-06-12 
Lufthansa,LAX,IST,16h 05m,1 stop,economy,14:55,17:00+1,"AED 3,698",2024-07-02
Delta,LAX,IST,16h 50m,1 stop,economy,13:40,16:30+1,"AED 6,811 ",2024-06-22 
LOT,IST,LAX,17h 30m,1 stop,business,07:05,14:35,"AED 12,490",2024-07-01
Korean Air,IST,NRT,13h 50m,1 stop,economy,21:20,17:10+1,"AED 4,140",2024-06-30
Air China,NRT,PAR,23h 10m,1 stop,economy,15:15,07:25+1,"AED 2,190",2024-06-30
Turkish Airlines,IST,NRT,11h 05m,direct,economy,15:50,08:55+1,"AED 3,479 ",2024-06-09 
LOT,IST,PAR,6h 10m,1 stop,economy,17:35,22:45,AED 844,2024-06-15
Delta,LAX,CMN,18h 40m,2 stops,business,06:35,09:15+1,"AED 14,100",2024-07-07
Etihad Airways,CMN,NRT,19h 45m,1 stop,economy,09:15,13:00+1,"AED 3,425",2024-05-31
Royal Air Maroc,IST,CMN,4h 55m,direct,business,11:55,14:50,"AED 7,881 ",2024-06-19 
American Airlines,NRT,LAX,9h 50m,direct,business,17:20,11:10,"AED 13,840 ",2024-06-04 
Royal Air Maroc,CMN,PAR,2h 50m,direct,economy,13:00,16:50,AED 562,2024-07-07
Delta,LAX,IST,16h 50m,1 stop,economy,13:40,16:30+1,"AED 6,719 ",2024-06-01 
JAL,LAX,NRT,16h 55m,1 stop,economy,07:35,16:30+1,"AED 4,940 ",2024-06-18 
Qatar Airways,IST,NRT,16h 50m,1 stop,economy,20:05,18:55+1,"AED 3,580 ",2024-06-01 
Turkish Airlines,NRT,PAR,18h 55m,1 stop,economy,10:35,22:30,"AED 2,830",2024-07-02
Multiple Airlines,CMN,LAX,27h 04m,2 stops,business,01:15,20:19,"AED 14,631 ",2024-06-21 
Delta,LAX,CMN,20h 10m,2 stops,economy,10:40,14:50+1,"AED 5,341 ",2024-06-21 
Air Canada,IST,LAX,24h 31m,2 stops,business,07:10,21:41,"AED 7,756 ",2024-06-08 
United Airlines,LAX,NRT,14h 50m,1 stop,business,08:00,14:50+1,"AED 22,900 ",2024-06-15 
American Airlines,LAX,NRT,16h 55m,1 stop,business,07:35,16:30+1,"AED 16,350 ",2024-06-13 
Asiana Airlines,LAX,NRT,16h 50m,1 stop,business,12:10,21:00+1,"AED 9,870",2024-06-26
JAL,LAX,NRT,11h 35m,direct,business,13:05,16:40+1,"AED 16,330 ",2024-06-03 
Singapore Airlines,NRT,LAX,10h 10m,direct,business,18:40,12:50,"AED 10,229 ",2024-06-04 
Delta,LAX,CMN,19h 50m,2 stops,business,11:00,14:50+1,"AED 14,099 ",2024-05-30 
Royal Air Maroc,PAR,CMN,3h 05m,direct,business,09:15,11:20,"AED 2,689 ",2024-06-13 
TUI Fly Belgium,CMN,PAR,3h 25m,direct,economy,06:35,11:00,AED 583,2024-07-06
Delta,LAX,IST,19h 00m,2 stops,business,11:05,16:05+1,"AED 22,279",2024-06-26
Egypt Air,IST,CMN,10h 00m,1 stop,business,04:30,12:30,"AED 3,117 ",2024-06-16 
ANA,NRT,PAR,16h 30m,1 stop,business,10:45,20:15,"AED 16,570 ",2024-06-23 
British Airways,CMN,LAX,28h 32m,2 stops,economy,13:45,10:17+1,"AED 3,400",2024-06-27
Air France,NRT,CMN,29h 55m,2 stops,business,11:20,09:15+1,"AED 14,456 ",2024-05-30 
Multiple Airlines,PAR,LAX,19h 14m,2 stops,business,07:25,17:39,"AED 14,073",2024-07-03
Asiana Airlines,NRT,LAX,16h 50m,1 stop,business,09:00,09:50,"AED 9,600 ",2024-06-06 
Lufthansa,CMN,LAX,23h 40m,1 stop,business,01:15,16:55,"AED 14,113",2024-06-27
Lufthansa,PAR,LAX,15h 55m,1 stop,economy,09:55,16:50,"AED 3,907 ",2024-06-24 
United Airlines,NRT,LAX,10h 00m,direct,business,17:00,11:00,"AED 21,150",2024-05-31
Egypt Air,PAR,NRT,33h 25m,2 stops,business,16:30,08:55+2,"AED 6,188 ",2024-05-29 
Lufthansa,IST,LAX,16h 50m,1 stop,economy,06:10,13:00,"AED 4,214",2024-07-08
SWISS,PAR,NRT,18h 40m,2 stops,business,07:10,08:50+1,"AED 15,021",2024-06-28
Pegasus Airlines,IST,PAR,3h 50m,direct,economy,10:25,13:15,AED 358,2024-06-05
Lufthansa,CMN,LAX,27h 01m,2 stops,business,01:15,20:16,"AED 9,170 ",2024-05-30 
Aer Lingus,PAR,LAX,16h 00m,1 stop,business,11:30,18:30,"AED 16,909",2024-07-06
KLM,NRT,CMN,28h 40m,2 stops,economy,12:35,09:15+1,"AED 5,146",2024-07-08
JetBlue,PAR,LAX,21h 05m,1 stop,economy,08:55,21:00,"AED 2,215 ",2024-06-25 
Qatar Airways,LAX,IST,27h 35m,1 stop,business,16:20,05:55+2,"AED 12,785",2024-07-08
Vietnam Airlines,NRT,PAR,28h 30m,1 stop,economy,09:30,07:00+1,"AED 1,640",2024-05-31
Delta,IST,LAX,16h 20m,1 stop,business,06:45,13:05,"AED 18,904 ",2024-06-01 
Air Tahiti Nui,LAX,PAR,10h 35m,direct,economy,13:30,09:05+1,"AED 2,436",2024-05-31
Qatar Airways,CMN,NRT,33h 30m,2 stops,economy,14:10,07:40+2,"AED 3,720",2024-06-27
Qatar Airways,PAR,NRT,18h 35m,1 stop,economy,17:20,18:55+1,"AED 3,670 ",2024-06-14 
Asiana Airlines,NRT,LAX,16h 50m,1 stop,economy,09:00,09:50,"AED 2,490 ",2024-06-08 
SAUDIA,CMN,IST,16h 35m,1 stop,economy,19:10,13:45+1,"AED 1,487",2024-07-02
Turkish Airlines,IST,CMN,7h 55m,1 stop,business,15:20,21:15,"AED 6,319 ",2024-06-15 
Egypt Air,PAR,NRT,33h 25m,2 stops,business,16:30,08:55+2,"AED 6,566 ",2024-05-29 
Delta,LAX,PAR,10h 50m,direct,business,18:30,14:20+1,"AED 23,256 ",2024-06-24 
Egypt Air,IST,LAX,26h 50m,2 stops,economy,18:35,11:25+1,"AED 5,120 ",2024-06-24 
Austrian Airlines,PAR,NRT,18h 45m,1 stop,economy,07:05,08:50+1,"AED 5,040",2024-06-28
Cathay Pacific,PAR,NRT,22h 10m,2 stops,economy,12:05,17:15+1,"AED 3,060 ",2024-06-05 
Air Canada,CMN,LAX,19h 35m,2 stops,economy,08:50,20:25,"AED 2,950 ",2024-06-17 
SWISS,PAR,NRT,17h 15m,2 stops,economy,08:35,08:50+1,"AED 5,535 ",2024-06-07 
Lufthansa,IST,LAX,16h 50m,1 stop,business,06:10,13:00,"AED 16,740",2024-07-07
Iberia,PAR,CMN,7h 10m,1 stop,business,06:00,12:10,"AED 2,380",2024-06-28
British Airways,IST,PAR,8h 25m,1 stop,business,08:25,15:50,"AED 2,440 ",2024-06-11 
Egypt Air,IST,CMN,19h 55m,1 stop,economy,18:35,12:30+1,"AED 1,315 ",2024-06-10 
Egypt Air,CMN,IST,21h 30m,1 stop,economy,13:30,13:00+1,"AED 1,129",2024-05-31
ANA,NRT,LAX,10h 00m,direct,business,17:00,11:00,"AED 13,070 ",2024-06-19 
Asiana Airlines,IST,NRT,21h 20m,1 stop,economy,17:40,21:00+1,"AED 3,620 ",2024-05-29 
Royal Air Maroc,CMN,PAR,2h 50m,direct,business,12:20,16:10,"AED 2,829",2024-07-04
American Airlines,NRT,LAX,9h 50m,direct,business,17:20,11:10,"AED 19,090 ",2024-06-15 
Air Algerie,PAR,IST,11h 05m,1 stop,business,12:15,00:20+1,"AED 2,607 ",2024-06-17 
United Airlines,LAX,NRT,11h 15m,direct,business,11:25,14:40+1,"AED 16,320",2024-07-07
Air France,CMN,PAR,3h 00m,direct,economy,15:55,19:55,"AED 1,436 ",2024-05-30 
ANA,IST,NRT,11h 05m,direct,business,15:50,08:55+1,"AED 24,020 ",2024-06-04 
Asiana Airlines,NRT,PAR,33h 05m,1 stop,economy,16:00,18:05+1,"AED 1,910",2024-07-07
Emirates,IST,NRT,16h 10m,1 stop,business,19:25,17:35+1,"AED 20,039",2024-07-05
Multiple Airlines,NRT,CMN,38h 45m,3 stops,economy,08:15,15:00+1,"AED 2,465 ",2024-06-09 
Air France,PAR,CMN,3h 05m,direct,business,07:10,09:15,"AED 3,699 ",2024-06-03 
Air France,PAR,CMN,3h 10m,direct,business,18:50,21:00,"AED 4,597 ",2024-06-22 
Delta,LAX,CMN,17h 10m,1 stop,business,13:40,14:50+1,"AED 15,593",2024-06-30
Hawaiian Airlines,LAX,NRT,17h 00m,1 stop,business,07:00,16:00+1,"AED 21,890 ",2024-06-15 
Egypt Air,CMN,IST,14h 50m,1 stop,business,01:10,18:00,"AED 3,368 ",2024-06-07 
ANA,NRT,LAX,10h 15m,direct,business,16:55,11:10,"AED 13,070 ",2024-06-14 
Korean Air,NRT,IST,16h 20m,1 stop,economy,09:20,19:40,"AED 2,622 ",2024-06-12 
Air Serbia,PAR,IST,7h 35m,1 stop,business,10:05,18:40,"AED 2,673 ",2024-06-05 
Turkish Airlines,CMN,LAX,26h 55m,1 stop,business,16:45,11:40+1,"AED 8,320",2024-06-26
ZIPAIR,NRT,LAX,9h 50m,direct,economy,14:40,08:30,"AED 1,878",2024-06-27
Air Canada,CMN,LAX,21h 10m,2 stops,business,08:50,22:00,"AED 8,150 ",2024-06-14 
JAL,LAX,NRT,16h 55m,1 stop,business,07:35,16:30+1,"AED 11,540",2024-07-03
WestJet,LAX,NRT,27h 25m,2 stops,business,21:00,16:25+2,"AED 6,460",2024-07-06
Lufthansa,IST,CMN,12h 25m,1 stop,business,14:00,00:25+1,"AED 2,740 ",2024-06-22 
Cathay Pacific,PAR,NRT,18h 35m,1 stop,economy,12:05,13:40+1,"AED 2,865 ",2024-06-13 
Air France,CMN,LAX,16h 15m,1 stop,business,10:20,18:35,"AED 11,120 ",2024-06-25 
LEVEL,PAR,LAX,17h 15m,1 stop,economy,09:55,18:10,"AED 2,392 ",2024-05-29 
Lufthansa,PAR,LAX,15h 15m,1 stop,economy,10:35,16:50,"AED 3,907",2024-07-03
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,08:00,10:05,"AED 1,279",2024-06-27
JetBlue,LAX,PAR,20h 15m,2 stops,business,10:35,15:50+1,"AED 13,280 ",2024-06-05 
Air Canada,CMN,LAX,22h 10m,2 stops,business,08:50,23:00,"AED 8,140 ",2024-06-12 
Qatar Airways,IST,NRT,16h 50m,1 stop,business,20:05,18:55+1,"AED 9,997 ",2024-06-03 
United Airlines,NRT,LAX,10h 00m,direct,economy,17:00,11:00,"AED 6,270 ",2024-06-05 
Qatar Airways,NRT,CMN,23h 50m,1 stop,business,22:30,14:20+1,"AED 18,390",2024-05-31
Turkish Airlines,IST,NRT,11h 05m,direct,business,15:50,08:55+1,"AED 20,240 ",2024-06-13 
French Bee,LAX,CMN,17h 45m,1 stop,economy,19:45,21:30+1,"AED 2,797 ",2024-06-09 
Tunisair,CMN,IST,7h 20m,1 stop,economy,02:00,11:20,"AED 1,592",2024-06-27
British Airways,IST,PAR,8h 00m,1 stop,business,08:30,15:30,"AED 3,620",2024-07-05
Lufthansa,CMN,IST,13h 45m,1 stop,business,01:15,17:00,"AED 6,560 ",2024-06-24 
Turkish Airlines,CMN,NRT,21h 45m,2 stops,business,16:45,22:30+1,"AED 9,540 ",2024-06-16 
Turkish Airlines,CMN,NRT,21h 45m,2 stops,economy,16:45,22:30+1,"AED 4,270",2024-07-04
Qatar Airways,NRT,CMN,23h 50m,1 stop,economy,22:30,14:20+1,"AED 3,980 ",2024-06-10 
Turkish Airlines,IST,PAR,3h 50m,direct,business,14:05,16:55,"AED 5,495 ",2024-06-15 
Emirates,NRT,IST,24h 55m,1 stop,business,22:30,17:25+1,"AED 10,557",2024-06-28
Qatar Airways,CMN,LAX,25h 15m,1 stop,business,20:50,14:05+1,"AED 6,670 ",2024-06-20 
Shanghai Airlines,NRT,PAR,20h 35m,1 stop,economy,16:55,06:30+1,"AED 2,812 ",2024-06-15 
Cathay Pacific,NRT,LAX,20h 30m,1 stop,economy,10:40,15:10,"AED 4,790",2024-07-01
Alaska Airlines,LAX,NRT,13h 59m,1 stop,business,09:31,15:30+1,"AED 11,540",2024-07-08
Qatar Airways,CMN,NRT,20h 45m,1 stop,economy,14:10,18:55+1,"AED 5,020 ",2024-06-01 
Air France,CMN,PAR,3h 00m,direct,business,15:55,19:55,"AED 3,400",2024-07-04
Royal Air Maroc,PAR,CMN,3h 05m,direct,economy,18:00,20:05,"AED 1,280",2024-06-30
China Eastern,PAR,NRT,16h 35m,1 stop,economy,21:20,20:55+1,"AED 2,911 ",2024-06-13 
Qatar Airways,NRT,IST,26h 00m,2 stops,economy,10:20,06:20+1,"AED 3,070",2024-07-08
Alaska Airlines,LAX,NRT,17h 15m,1 stop,economy,07:00,16:15+1,"AED 3,189 ",2024-06-19 
Multiple Airlines,LAX,PAR,22h 05m,2 stops,business,11:30,18:35+1,"AED 8,372",2024-07-01
Austrian Airlines,PAR,NRT,18h 45m,1 stop,economy,07:05,08:50+1,"AED 5,268 ",2024-06-23 
Emirates,CMN,NRT,18h 50m,1 stop,economy,14:45,17:35+1,"AED 3,963 ",2024-06-06 
Etihad Airways,IST,NRT,23h 35m,1 stop,business,07:25,13:00+1,"AED 12,055 ",2024-06-02 
Lufthansa,LAX,IST,18h 00m,2 stops,economy,13:00,17:00+1,"AED 4,108 ",2024-06-11 
ANA,NRT,LAX,10h 15m,direct,business,16:55,11:10,"AED 18,310",2024-07-01
Delta,LAX,PAR,10h 55m,direct,business,15:20,11:15+1,"AED 26,469 ",2024-06-18 
Air Arabia Maroc,IST,CMN,5h 00m,direct,economy,01:30,04:30,"AED 1,014",2024-07-06
Cathay Pacific,PAR,NRT,25h 30m,1 stop,economy,12:05,20:35+1,"AED 3,080 ",2024-06-23 
Royal Air Maroc,CMN,IST,4h 40m,direct,economy,16:45,23:25,"AED 2,315",2024-07-07
Emirates,PAR,NRT,23h 10m,1 stop,economy,11:25,17:35+1,"AED 3,486 ",2024-05-30 
KLM,CMN,LAX,20h 50m,1 stop,business,23:00,11:50+1,"AED 11,043",2024-07-04
Iberia,CMN,PAR,6h 20m,1 stop,economy,12:45,20:05,"AED 1,130 ",2024-06-18 
Egypt Air,IST,NRT,16h 30m,1 stop,business,19:00,17:30+1,"AED 7,510 ",2024-06-01 
Turkish Airlines,CMN,IST,4h 40m,direct,economy,16:45,23:25,"AED 1,541",2024-07-07
Royal Air Maroc,CMN,NRT,26h 10m,2 stops,economy,02:50,13:00+1,"AED 4,545",2024-06-29
Royal Air Maroc,LAX,PAR,18h 55m,2 stops,business,09:35,13:30+1,"AED 9,668",2024-07-05
Lufthansa,CMN,LAX,19h 45m,1 stop,business,01:15,13:00,"AED 8,250 ",2024-06-08 
Lufthansa,IST,CMN,8h 30m,1 stop,business,17:55,00:25+1,"AED 4,180",2024-07-08
Air Algerie,PAR,IST,11h 05m,1 stop,business,12:15,00:20+1,"AED 2,768 ",2024-06-07 
Qatar Airways,CMN,NRT,33h 30m,2 stops,business,14:10,07:40+2,"AED 11,180",2024-06-28
