Airline,stops,class,depature time,arrival time,Price,Days Left,Day of Week,Duration_log,Source_CMN,Source_IST,Source_LAX,Source_NRT,Source_PAR,Destination_CMN,Destination_IST,Destination_LAX,Destination_NRT,Destination_PAR
37,1,1,5,0,6.414229152294207,25,5,7.181591944611865,False,False,False,True,False,False,True,False,False,False
78,0,1,4,0,5.062278527248094,17,4,5.135798437050262,True,False,False,False,False,False,False,False,False,True
94,1,1,2,1,6.539600406380309,9,3,6.993932975223189,False,False,False,True,False,False,True,False,False,False
91,2,0,4,5,7.090651670526934,18,5,6.371611847231857,True,False,False,False,False,False,True,False,False,False
65,2,0,3,0,7.82951105028735,32,5,7.150701457592526,True,False,False,False,False,False,False,True,False,False
59,3,0,5,0,7.619572092301106,35,1,8.106212902619962,True,False,False,False,False,False,False,False,True,False
98,0,0,4,0,6.974665984264764,35,1,5.393627546352362,False,False,False,False,True,False,True,False,False,False
98,1,1,4,0,6.822197390620491,24,4,7.684783943522785,False,False,False,True,False,True,False,False,False,False
21,1,1,0,2,6.245525201056913,40,6,7.59337419312129,False,False,False,True,False,False,False,False,False,True
83,1,1,1,4,7.257982480835686,26,6,7.0431599159883405,False,False,False,False,True,False,False,False,True,False
1,1,1,0,3,5.283711214158674,22,2,6.499787040655854,False,False,False,False,True,False,True,False,False,False
8,1,1,0,2,7.4197402304679745,34,0,6.947937068614969,False,False,False,True,False,False,False,True,False,False
39,1,1,2,4,6.636930323596779,26,6,7.150701457592526,False,False,False,True,False,False,False,False,False,True
78,0,1,4,0,5.5751533320590205,2,3,5.579729825986222,True,False,False,False,False,False,True,False,False,False
20,1,0,0,4,8.87594397929931,16,3,6.697034247666484,False,False,True,False,False,False,False,False,False,True
12,0,1,0,2,6.08822821554029,6,0,5.220355825078324,False,False,False,False,True,True,False,False,False,False
77,1,1,0,2,6.84832369521271,9,3,7.240649694255466,False,True,False,False,False,False,False,False,True,False
26,1,0,0,5,6.140746249823736,32,5,6.461468176353717,False,True,False,False,False,False,False,False,False,True
39,1,1,4,0,6.31381974849314,9,3,7.254884810077338,False,True,False,False,False,False,False,False,True,False
26,1,0,0,5,6.202737925851705,41,0,6.327936783729195,False,True,False,False,False,False,False,False,False,True
15,1,0,5,3,6.661061587207667,24,4,5.886104031450156,False,False,False,False,True,False,True,False,False,False
39,2,0,4,4,7.740251273113026,14,1,7.517520850603031,False,False,False,True,False,True,False,False,False,False
98,2,0,0,4,7.85391544445857,41,0,7.557472901614746,True,False,False,False,False,False,False,False,True,False
36,1,0,3,0,7.736132408802186,40,6,6.380122536899765,True,False,False,False,False,False,True,False,False,False
36,1,1,3,2,5.9802772014674055,11,5,6.818924065275521,True,False,False,False,False,False,True,False,False,False
78,0,1,5,5,5.6192044981809035,29,2,5.220355825078324,False,False,False,False,True,True,False,False,False,False
111,1,1,4,0,6.010531609825208,18,5,6.866933284461882,False,False,False,False,True,False,False,True,False,False
36,1,0,3,0,7.603005247133785,15,2,6.802394763324311,False,True,False,False,False,True,False,False,False,False
91,1,1,4,0,5.224455517949582,12,6,5.752572638825633,False,False,False,False,True,True,False,False,False,False
36,1,0,5,0,7.778048144591973,33,6,7.272398392570047,False,False,False,True,False,True,False,False,False,False
98,0,0,0,4,8.034663436805094,28,1,6.499787040655854,False,True,False,False,False,False,False,False,True,False
78,0,1,4,0,6.024343075673921,39,5,5.579729825986222,True,False,False,False,False,False,True,False,False,False
34,0,1,5,0,7.625517020306002,10,4,6.4692503167957724,False,False,True,False,False,False,False,False,False,True
77,1,1,0,0,6.673424382027351,41,0,7.557472901614746,True,False,False,False,False,False,False,True,False,False
8,1,0,4,2,7.798974326427269,24,4,7.026426808699636,True,False,False,False,False,False,False,True,False,False
34,0,0,2,0,8.874358415148189,9,3,6.476972362889683,False,False,True,False,False,False,False,False,False,True
78,0,1,2,5,5.731203070232193,8,2,5.247024072160486,False,False,False,False,True,True,False,False,False,False
77,1,0,0,0,7.521209690632833,5,6,7.557472901614746,True,False,False,False,False,False,False,True,False,False
96,0,1,2,3,5.431186039622461,33,6,5.438079308923196,False,False,False,False,True,False,True,False,False,False
99,2,1,2,2,6.5107046694749915,1,2,6.99117688712121,False,False,False,True,False,False,False,True,False,False
55,1,0,4,4,7.959464621563989,33,6,6.917705609835305,False,False,True,False,False,False,False,False,False,True
98,1,0,2,5,8.630534376645116,18,5,6.98933526597456,False,False,True,False,False,False,False,False,False,True
1,1,0,0,5,6.830982220176224,2,3,5.966146739123692,False,True,False,False,False,False,False,False,False,True
28,1,0,0,0,7.95454781892045,15,2,7.060476365999801,False,False,False,False,True,False,False,False,True,False
21,1,0,2,0,7.418120796915671,26,6,7.380879035564116,False,False,False,True,False,False,True,False,False,False
4,1,0,0,3,6.703016319344032,23,3,6.327936783729195,False,False,False,False,True,False,True,False,False,False
91,1,0,4,0,6.448572888367985,14,1,6.016157159698354,False,False,False,False,True,True,False,False,False,False
108,1,1,0,2,4.68213122712422,37,3,5.966146739123692,False,True,False,False,False,False,False,False,False,True
8,2,1,4,5,6.680227129350103,7,1,7.1929342212158,True,False,False,False,False,False,False,True,False,False
77,2,0,0,4,8.124950283477194,40,6,7.605890001053122,True,False,False,False,False,False,False,False,True,False
38,2,0,5,1,7.931536257027243,25,5,7.795646536334594,False,False,False,True,False,False,False,False,False,True
96,0,1,1,4,4.9578672285576,21,1,5.438079308923196,False,True,False,False,False,False,False,False,False,True
52,2,0,0,5,7.776576973614244,18,5,6.937314081223682,False,False,False,False,True,False,False,True,False,False
39,1,1,2,1,6.765004374105752,15,2,6.980075940561763,False,False,False,True,False,False,True,False,False,False
91,1,0,1,4,6.255941961915169,36,2,5.814130531825066,False,False,False,False,True,True,False,False,False,False
26,1,0,0,5,6.169401505584112,37,3,6.152732694704104,False,True,False,False,False,False,False,False,False,True
51,1,0,1,2,6.255941961915169,26,6,6.5998704992128365,False,False,False,False,True,True,False,False,False,False
98,0,0,4,2,8.423365911572084,14,1,6.672032945461067,False,False,False,True,False,False,True,False,False,False
